menu_id,r_id,f_id,price
mn0,567335,fd0,40
mn0,567335,fd669322,40
mn328,158203,fd0,65
mn328,158203,fd669322,65
mn449,158203,fd0,65
mn449,158203,fd669322,65
mn729,158204,fd0,60
mn729,158204,fd669322,60
mn755,158204,fd0,60
mn755,158204,fd669322,60
mn967,407249,fd0,52
mn967,407249,fd669322,52
mn1522,257181,fd0,30
mn1522,257181,fd669322,30
mn1848,435582,fd0,55
mn1848,435582,fd669322,55
mn2023,382204,fd0,60
mn2023,382204,fd669322,60
mn3143,459775,fd0,49
mn3143,459775,fd669322,49
mn3568,187915,fd0,45
mn3568,187915,fd669322,45
mn3574,187915,fd0,45
mn3574,187915,fd669322,45
mn14454,263185,fd0,179
mn14454,263185,fd669322,179
mn14622,263185,fd0,179
mn14622,263185,fd669322,179
mn14909,109549,fd0,240
mn14909,109549,fd669322,240
mn16906,447526,fd0,99
mn16906,447526,fd669322,99
mn21188,186264,fd0,129
mn21188,186264,fd669322,129
mn21230,186264,fd0,129
mn21230,186264,fd669322,129
mn21890,153339,fd0,249
mn21890,153339,fd669322,249
mn30897,547588,fd0,55
mn30897,547588,fd669322,55
mn31752,300380,fd0,54
mn31752,300380,fd669322,54
mn31764,300380,fd0,54
mn31764,300380,fd669322,54
mn33507,302166,fd0,54
mn33507,302166,fd669322,54
mn35818,394135,fd0,55
mn35818,394135,fd669322,55
mn36168,553063,fd0,45
mn36168,553063,fd669322,45
mn36268,553063,fd0,45
mn36268,553063,fd669322,45
mn39816,183499,fd0,159
mn39816,183499,fd669322,159
mn49170,354337,fd0,279
mn49170,354337,fd669322,279
mn59899,381622,fd0,150
mn59899,381622,fd669322,150
mn67923,452112,fd0,60
mn67923,452112,fd669322,60
mn69128,75774,fd0,84
mn69128,75774,fd669322,84
mn69201,75774,fd0,84
mn69201,75774,fd669322,84
mn71462,84614,fd0,119
mn71462,84614,fd669322,119
mn71580,91226,fd0,80
mn71580,91226,fd669322,80
mn73606,558581,fd0,69
mn73606,558581,fd669322,69
mn74644,73718,fd0,90
mn74644,73718,fd669322,90
mn75525,75401,fd0,65
mn75525,75401,fd669322,65
mn75718,301904,fd0,70
mn75718,301904,fd669322,70
mn84162,352457,fd0,50
mn84162,352457,fd669322,50
mn84585,322586,fd0,60
mn84585,322586,fd669322,60
mn85707,510962,fd0,70
mn85707,510962,fd669322,70
mn86604,82202,fd0,63
mn86604,82202,fd669322,63
mn86621,82202,fd0,63
mn86621,82202,fd669322,63
mn86807,136670,fd0,65
mn86807,136670,fd669322,65
mn89521,93961,fd0,58
mn89521,93961,fd669322,58
mn90195,483237,fd0,55
mn90195,483237,fd669322,55
mn90856,476843,fd0,89
mn90856,476843,fd669322,89
mn90985,570636,fd0,55
mn90985,570636,fd669322,55
mn94065,505383,fd0,125
mn94065,505383,fd669322,125
mn94303,489445,fd0,75
mn94303,489445,fd669322,75
mn94981,95337,fd0,55
mn94981,95337,fd669322,55
mn95726,556732,fd0,55
mn95726,556732,fd669322,55
mn96487,557067,fd0,55
mn96487,557067,fd669322,55
mn96599,556815,fd0,55
mn96599,556815,fd669322,55
mn101450,431256,fd0,90
mn101450,431256,fd669322,90
mn109587,409355,fd0,150
mn109587,409355,fd669322,150
mn110615,100010,fd0,175
mn110615,100010,fd669322,175
mn110721,100010,fd0,175
mn110721,100010,fd669322,175
mn115039,65412,fd0,50
mn115039,65412,fd669322,50
mn115519,36753,fd0,75
mn115519,36753,fd669322,75
mn117642,474005,fd0,60
mn117642,474005,fd669322,60
mn118842,464456,fd0,125
mn118842,464456,fd669322,125
mn122696,561905,fd0,99
mn122696,561905,fd669322,99
mn128286,569707,fd0,55
mn128286,569707,fd669322,55
mn128415,489905,fd0,129
mn128415,489905,fd669322,129
mn133029,106309,fd0,75
mn133029,106309,fd669322,75
mn133038,106309,fd0,75
mn133038,106309,fd669322,75
mn133868,51680,fd0,200
mn133868,51680,fd669322,200
mn134160,51685,fd0,95
mn134160,51685,fd669322,95
mn134220,51685,fd0,95
mn134220,51685,fd669322,95
mn134733,416752,fd0,160
mn134733,416752,fd669322,160
mn136006,310367,fd0,80
mn136006,310367,fd669322,80
mn136047,310367,fd0,80
mn136047,310367,fd669322,80
mn139076,543430,fd0,50
mn139076,543430,fd669322,50
mn142368,361592,fd0,148
mn142368,361592,fd669322,148
mn143511,473959,fd0,185
mn143511,473959,fd669322,185
mn149237,114922,fd0,70
mn149237,114922,fd669322,70
mn149712,505482,fd0,80
mn149712,505482,fd669322,80
mn150397,439917,fd0,205
mn150397,439917,fd669322,205
mn152907,63622,fd0,95
mn152907,63622,fd669322,95
mn153070,63622,fd0,95
mn153070,63622,fd669322,95
mn155209,63517,fd0,60
mn155209,63517,fd669322,60
mn158798,490793,fd0,50
mn158798,490793,fd669322,50
mn160509,352851,fd0,68
mn160509,352851,fd669322,68
mn161266,132287,fd0,68
mn161266,132287,fd669322,68
mn161345,132287,fd0,68
mn161345,132287,fd669322,68
mn162334,369994,fd0,60
mn162334,369994,fd669322,60
mn163328,323741,fd0,55
mn163328,323741,fd669322,55
mn164791,573112,fd0,60
mn164791,573112,fd669322,60
mn170581,379352,fd0,60
mn170581,379352,fd669322,60
mn170615,543712,fd0,55
mn170615,543712,fd669322,55
mn175158,194256,fd0,50
mn175158,194256,fd669322,50
mn175292,550903,fd0,130
mn175292,550903,fd669322,130
mn176660,563683,fd0,60
mn176660,563683,fd669322,60
mn180955,352725,fd0,60
mn180955,352725,fd669322,60
mn182260,528114,fd0,70
mn182260,528114,fd669322,70
mn182497,521044,fd0,55
mn182497,521044,fd669322,55
mn182808,323011,fd0,84
mn182808,323011,fd669322,84
mn184046,55549,fd0,50
mn184046,55549,fd669322,50
mn184117,55549,fd0,50
mn184117,55549,fd669322,50
mn184961,435577,fd0,90
mn184961,435577,fd669322,90
mn185992,95663,fd0,70
mn185992,95663,fd669322,70
mn186030,95663,fd0,70
mn186030,95663,fd669322,70
mn189899,340368,fd0,80
mn189899,340368,fd669322,80
mn192632,36340,fd0,99
mn192632,36340,fd669322,99
mn192931,504989,fd0,80
mn192931,504989,fd669322,80
mn194283,50581,fd0,55
mn194283,50581,fd669322,55
mn194369,524212,fd0,99
mn194369,524212,fd669322,99
mn200446,248030,fd0,175
mn200446,248030,fd669322,175
mn200573,248030,fd0,175
mn200573,248030,fd669322,175
mn203656,337247,fd0,55
mn203656,337247,fd669322,55
mn207012,253531,fd0,60
