Order_Id,Type
B496840219,Non-Veg
C134461623,Other
D679770099,Other
E622201871,Veg
A980473889,Non-Veg
A177128356,Non-Veg
B425554799,Other
B488690926,Non-Veg
D532246305,Veg
E447012005,Veg
E720383086,Non-Veg
C803500351,Veg
D864650393,Other
A576223988,Non-Veg
B283070447,Non-Veg
E943770295,Other
E997262237,Non-Veg
B888693969,Other
A812825440,Other
D677845292,Non-Veg
D837238747,Other
E187366401,Non-Veg
A107853603,Veg
E261811325,Veg
D400703758,Veg
A954525263,Other
A487162997,Veg
C882805333,Other
B720702811,Other
C947476279,Non-Veg
B658857763,Other
A365074961,Veg
A482179686,Other
B545180413,Non-Veg
C535410070,Veg
A613868267,Veg
C412236078,Other
B590160085,Veg
A458399643,Other
A718443955,Other
E305869094,Non-Veg
B271575980,Other
A767507332,Other
C706486955,Other
C611906567,Other
D306401856,Non-Veg
D176947814,Veg
C843219523,Veg
A953129715,Non-Veg
A305103265,Other
A135590736,Non-Veg
A486660320,Non-Veg
A749714683,Non-Veg
D473217439,Other
A583390282,Non-Veg
A771542255,Other
B694158608,Other
D526939611,Non-Veg
B780614190,Other
B169797917,Non-Veg
B751847831,Non-Veg
E268696473,Veg
D517724290,Veg
D972423518,Non-Veg
D721433046,Other
C497845631,Other
C901136728,Veg
D429149489,Other
D301844585,Veg
E565698542,Other
E472966534,Veg
A892990643,Other
D107992273,Other
D715818219,Non-Veg
E991494937,Veg
D969610753,Other
D943129428,Other
C531201039,Other
D832384843,Veg
B743418389,Other
C503551275,Veg
D211269872,Non-Veg
C373758906,Other
A369248291,Other
A945324319,Veg
A667543874,Veg
A262113283,Other
D277768151,Other
E185357905,Veg
A776773300,Other
C194079377,Non-Veg
C761344863,Non-Veg
E521760453,Other
E438696584,Veg
C141847022,Other
D614690500,Non-Veg
D434061543,Non-Veg
A538734370,Non-Veg
B348951070,Non-Veg
D652991477,Other
C110136797,Non-Veg
E564895697,Other
A776142547,Non-Veg
C666503493,Veg
A421251353,Other
D498501656,Other
E217342903,Other
C862564288,Non-Veg
A891532613,Non-Veg
D149893825,Veg
A428613642,Non-Veg
B813647541,Other
E160528059,Veg
A110631298,Veg
E597675967,Non-Veg
E730161752,Other
A918687778,Veg
A740493653,Veg
A447519528,Non-Veg
E978203911,Other
E573347215,Non-Veg
E656348396,Veg
A212672099,Veg
E497791527,Non-Veg
E219378239,Veg
B761013719,Other
A633413160,Veg
B184925165,Other
C879377670,Other
A635745337,Veg
B391020043,Other
A971942429,Non-Veg
E347987347,Other
A309706529,Other
D634001426,Non-Veg
E664324802,Veg
A343397566,Non-Veg
B665008353,Other
C246028391,Other
D171826179,Non-Veg
E322181937,Non-Veg
E197294428,Veg
B374504609,Non-Veg
B759650596,Other
C663045159,Veg
E611944538,Non-Veg
C513170081,Other
B756713652,Veg
D418660463,Other
B474088994,Non-Veg
B751870523,Other
D324725567,Other
B552931432,Other
D271439030,Non-Veg
E371626016,Non-Veg
C899032879,Veg
C200553075,Other
E403038504,Other
D905886985,Veg
A161956996,Other
A244807514,Other
B754970096,Other
A370332998,Veg
B758043582,Non-Veg
D419133604,Veg
A913055268,Veg
D220193932,Veg
D945289678,Veg
A836531028,Other
C306070484,Other
C334249183,Veg
E500110391,Veg
B919120638,Veg
E104170446,Veg
D582532099,Veg
E327114869,Other
D624453140,Veg
D371528015,Non-Veg
D358935048,Non-Veg
A711031932,Other
D265696672,Other
E747131297,Other
B149804704,Veg
D349683322,Other
C827728905,Other
B962695880,Veg
D706975000,Veg
B800989811,Non-Veg
E364340295,Veg
B965571779,Other
C975389687,Veg
B809366755,Non-Veg
D652856194,Veg
C393089697,Other
E578226252,Other
A162072390,Other
C990954946,Other
C750294995,Veg
B675512591,Veg
D392146422,Veg
E740490103,Non-Veg
D629839424,Non-Veg
A921780981,Other
D731614481,Other
A260724815,Non-Veg
C568282280,Veg
C994444871,Non-Veg
A613174281,Other
E717533093,Other
B545637791,Veg
A385423056,Non-Veg
E693378212,Veg
E525193443,Non-Veg
C867376719,Other
E109272507,Veg
C729105982,Non-Veg
A181297424,Non-Veg
D848488183,Non-Veg
C844699662,Non-Veg
D464555125,Non-Veg
D495286969,Veg
E151449957,Non-Veg
A522325788,Veg
D823166061,Non-Veg
B331475020,Veg
C386894499,Non-Veg
C745683597,Other
A651668806,Veg
B982431416,Veg
C325436038,Non-Veg
B888596997,Other
E444739322,Other
C993941316,Other
D364059231,Non-Veg
B609723840,Other
A198477997,Veg
A446552445,Non-Veg
C249849747,Non-Veg
D410368464,Non-Veg
E725787602,Veg
E465485886,Veg
C670944572,Non-Veg
D148809348,Non-Veg
D606502286,Veg
D225377118,Other
B851627094,Other
E342839211,Veg
E112351193,Veg
A591311446,Other
B441473871,Veg
B494714071,Other
B286492816,Other
E303872218,Other
A429300865,Non-Veg
B584667738,Veg
A976337918,Other
E372741555,Other
B577894098,Non-Veg
C894216711,Other
C342152966,Veg
C478539051,Non-Veg
A648751171,Other
C378374103,Veg
B878435865,Non-Veg
E628557925,Veg
A463049915,Non-Veg
C410436159,Other
B233890053,Other
D773197037,Non-Veg
C443944281,Non-Veg
E355797863,Other
A597118906,Other
A989683206,Veg
E886615900,Non-Veg
E595678430,Veg
C884875490,Veg
E450820988,Other
B729901184,Other
A830597064,Veg
D392658984,Veg
C962091797,Non-Veg
A854332330,Other
B766016883,Veg
C607156793,Veg
B859975913,Other
D546115384,Veg
C150408241,Other
A581281501,Non-Veg
E105568052,Other
A108325855,Veg
B363017045,Veg
B776949772,Other
D724306707,Veg
D841748105,Veg
C960266958,Veg
C516020362,Veg
D582158671,Non-Veg
E987419351,Veg
C231274515,Veg
D688052880,Veg
E466675592,Non-Veg
E646626992,Veg
D679437464,Veg
A578315726,Non-Veg
D978522737,Other
A803971671,Non-Veg
D623400515,Other
D413697119,Non-Veg
B556487228,Veg
B302685323,Other
C630193847,Non-Veg
B251644051,Veg
E732481335,Veg
A866244955,Veg
D959781960,Non-Veg
A643127644,Other
C995662128,Veg
D296775857,Other
C806962513,Other
A728000148,Veg
A181291420,Veg
E942823246,Veg
A667874101,Veg
C858537636,Veg
C126475798,Non-Veg
E447448582,Veg
A749273197,Non-Veg
E548637066,Non-Veg
A202855851,Veg
B971582195,Non-Veg
D187875621,Non-Veg
A428271564,Non-Veg
D413908046,Veg
A852654161,Non-Veg
D180105927,Non-Veg
D617561428,Other
A185871182,Veg
B154061012,Non-Veg
E528990052,Other
E964728764,Veg
D916077402,Veg
C961726183,Veg
A401626051,Other
A717238185,Other
B264795239,Veg
A251553014,Veg
D312368138,Non-Veg
E794988147,Non-Veg
E418124716,Non-Veg
D177240826,Other
D532639286,Non-Veg
E239839729,Veg
B244262641,Other
E156504040,Veg
E709221071,Veg
C675487762,Non-Veg
A445798267,Non-Veg
B874635187,Veg
D274867384,Veg
D254784303,Veg
E666979168,Veg
B751261649,Other
D857046793,Other
E756604873,Non-Veg
A649703670,Non-Veg
B541661392,Other
C307215671,Non-Veg
B857087169,Other
A872381817,Non-Veg
C407501267,Other
D574783203,Veg
E786631396,Non-Veg
E648714866,Other
C773242270,Non-Veg
E854769872,Non-Veg
B142460903,Other
E306606880,Other
C435319928,Other
B931519522,Veg
D812729321,Other
A893412092,Non-Veg
C498221994,Non-Veg
E986162195,Non-Veg
A298378995,Non-Veg
E562009321,Veg
E455095523,Other
B920658084,Other
C163514211,Veg
D829897366,Other
D430269780,Other
B218569718,Veg
E122667006,Other
E398421962,Non-Veg
A773805697,Veg
C679415671,Other
B208862586,Other
A348405533,Non-Veg
E486488711,Other
B218080196,Non-Veg
C689945726,Veg
C706808950,Non-Veg
E520609807,Veg
D719768128,Veg
B838646752,Other
E675284990,Veg
C135715710,Other
E291364741,Other
E765561462,Veg
A565171338,Veg
C972938899,Veg
C304886988,Other
D729652331,Veg
B903434104,Non-Veg
A562426990,Veg
E246738815,Non-Veg
C569569894,Other
E874925538,Veg
E990105749,Non-Veg
A754458379,Other
E915401079,Veg
